Flight ID,Flight Date,Departure Time,Arrival Time,Origin Airport,Destination Airport,Airline,Aircraft Type,Flight Duration,Distance,Revenue,Fuel Cost,Crew Cost,Flight Delay (hours)
41,2020-08-07,08:18:11,11:13:18,Gordonside,Wolfeville,Delta,Boeing 737,7.21,931.19,13275.42,5964.88,3905.6,1.38
42,2024-10-13,13:26:34,07:30:00,Lake Stephen,New Patrick,American Airlines,Boeing 737,7.7,686.58,42482.39,4703.84,4914.28,0.0
43,2023-01-26,08:40:33,07:21:01,South Rachelland,Kevinchester,JetBlue,Airbus A380,4.82,980.25,31589.5,1764.37,2519.49,0.0
44,2022-02-19,16:16:39,02:13:31,Port Ruth,Port Stephaniechester,Southwest,Airbus A380,9.34,2393.36,4458.01,9971.91,3569.53,0.0
45,2020-03-23,20:46:58,21:21:07,East Caitlin,Hannahfort,Delta,Airbus A380,3.85,1124.11,15631.66,1684.85,1473.97,0.7
46,2020-03-29,19:39:25,19:12:14,South Jesse,Lake Amberbury,American Airlines,Boeing 777,9.91,1604.65,41384.69,6283.17,3754.99,0.0
47,2024-01-14,17:32:23,19:17:22,New Amandafort,Petertown,Southwest,Airbus A320,5.68,583.75,40547.71,8983.08,4953.72,0.71
48,2024-06-28,17:29:51,19:11:51,New Tyrone,Port Brooketown,United Airlines,Airbus A320,9.41,2923.79,29204.8,7525.34,2195.3,0.0
49,2024-02-09,05:14:12,04:52:14,South Johnside,South Samuel,Delta,Airbus A320,2.27,2399.07,48824.69,5882.13,2412.0,3.59
50,2024-04-19,09:52:29,18:27:51,Thomaschester,West Elizabethtown,American Airlines,Boeing 777,1.57,1116.35,42922.83,3085.04,1317.52,0.0
51,2025-01-01,21:12:10,02:38:03,Hayesmouth,Bentleyland,United Airlines,Boeing 737,9.97,2405.86,3585.7,2420.06,1203.07,0.0
52,2020-01-13,14:07:13,18:29:03,Port Paula,Tiffanytown,American Airlines,Airbus A320,2.22,2204.76,6407.11,9509.62,2686.77,2.76
53,2022-11-12,19:23:26,16:30:32,Ericfurt,Hooverside,American Airlines,Boeing 737,2.98,2873.89,28890.0,6327.01,1375.66,3.01
54,2021-08-23,19:16:01,03:31:56,Kristineview,Davilaview,Southwest,Boeing 777,4.0,1045.18,20495.69,8941.62,3646.26,0.0
55,2023-02-04,03:25:14,11:54:06,Mitchellfort,New Peggy,United Airlines,Boeing 737,10.33,2365.25,43219.49,7237.97,2828.27,2.31
56,2021-05-13,03:19:56,19:48:02,Duanechester,East Brittanystad,Delta,Airbus A320,11.27,2173.86,6132.03,2785.16,3915.6,0.0
57,2024-08-13,00:09:29,03:30:02,West John,Gillchester,Southwest,Boeing 777,1.94,963.07,23839.39,2753.75,1264.93,0.0
58,2020-02-29,10:19:33,02:01:26,East Roberthaven,Johnmouth,United Airlines,Airbus A380,7.48,2636.12,48222.08,5865.46,4383.72,0.0
59,2023-11-23,19:15:58,00:30:15,Thomasburgh,Mariahport,United Airlines,Airbus A320,5.27,784.51,41071.53,1777.0,1656.66,3.1
60,2023-06-30,13:36:40,08:29:16,South Leon,New Mollytown,Southwest,Boeing 737,4.53,1029.46,10020.33,1219.72,2280.52,0.0
61,2023-07-04,05:17:53,14:07:02,Port Paul,Andersonshire,American Airlines,Boeing 777,4.36,593.88,37149.27,6510.22,1464.73,0.0
62,2023-08-11,16:08:27,14:06:22,New Amyhaven,West Jennifer,JetBlue,Airbus A380,4.43,1245.39,33130.77,5123.6,4582.11,0.0
63,2020-12-29,01:49:54,15:39:04,Port Ann,South Kevinville,JetBlue,Airbus A380,9.71,2689.51,13748.92,5539.45,1071.96,0.0
64,2021-07-25,23:19:36,00:12:58,Janeview,New Masonmouth,United Airlines,Boeing 777,4.37,1935.16,15652.04,4138.66,3275.64,2.53
65,2024-12-19,18:43:06,20:50:02,South Monique,Martinland,Southwest,Airbus A380,9.54,726.84,34314.56,7335.76,1128.99,0.0
66,2023-05-15,20:12:35,00:00:56,Ortizmouth,Andersonfurt,JetBlue,Airbus A320,3.62,2612.31,38865.99,9077.11,1310.44,3.18
67,2024-02-05,13:07:23,03:27:55,Davidchester,Sharonhaven,American Airlines,Boeing 777,10.12,2368.61,19643.15,5955.52,3147.83,3.87
68,2023-03-18,10:34:07,01:45:08,South Stephanie,Jonathanland,Delta,Boeing 737,3.19,855.05,32814.22,8705.09,2459.48,1.78
69,2021-04-27,11:42:58,18:36:09,West Jessica,New Derrickbury,United Airlines,Airbus A380,5.1,573.74,47652.66,5964.25,4729.93,0.0
70,2025-01-14,03:54:28,01:14:36,West Stevenburgh,Port Rebecca,United Airlines,Airbus A320,2.86,2816.47,12299.24,1591.34,4320.64,0.0
71,2023-12-04,12:20:26,00:00:34,Michaelville,Perkinston,United Airlines,Boeing 777,11.49,813.37,42839.6,6753.97,3069.98,0.88
72,2020-09-27,01:44:34,14:31:21,Lake Andrewchester,Conwayshire,American Airlines,Boeing 737,3.86,1636.61,26242.25,5859.37,1003.47,0.0
73,2024-03-10,17:03:35,04:19:57,Kristenberg,West Jessicaville,United Airlines,Boeing 777,5.33,2033.56,31013.12,1599.1,4649.59,0.79
74,2020-12-03,14:59:23,22:27:03,Andersenhaven,Port Christopherstad,United Airlines,Boeing 737,4.17,2568.17,44154.69,2904.17,3353.16,1.38
75,2022-07-29,10:05:30,17:34:52,New Adam,Lake Lauren,Southwest,Boeing 777,3.38,1914.56,5964.85,5855.78,3901.55,0.0
76,2024-10-16,19:56:21,18:41:48,Grayfort,South Jane,Southwest,Airbus A380,5.74,942.99,49303.86,9601.37,4245.64,0.0
77,2021-12-18,01:38:42,23:35:25,Katelynshire,Hughestown,American Airlines,Boeing 737,10.23,1265.14,17353.96,3700.61,4144.39,0.0
78,2020-06-25,03:37:39,15:11:27,Kramerview,Simpsonmouth,American Airlines,Boeing 737,3.89,448.2,26117.81,9869.26,3121.58,0.0
79,2023-03-25,10:09:49,23:19:19,South Todd,West Timothy,American Airlines,Airbus A380,4.31,1511.52,22872.84,865.6,1807.39,0.0
80,2020-02-16,00:23:41,23:12:11,Clayborough,Martinstad,Delta,Airbus A380,3.55,1384.08,23230.1,3018.21,2041.24,0.0
81,2023-07-22,22:36:55,09:18:20,New Kathleenfort,New Meganstad,United Airlines,Airbus A320,3.34,2690.47,25419.4,8679.18,2812.21,0.0
82,2020-02-27,04:48:13,08:30:10,Owensland,Port Jasonton,JetBlue,Airbus A380,10.06,2181.93,48958.1,8447.72,2794.08,0.0
83,2024-11-20,00:23:16,10:56:38,West Krystalchester,Lucasshire,United Airlines,Boeing 777,9.86,766.02,31544.77,2697.89,2984.39,0.0
84,2020-02-23,10:06:27,16:31:44,Jordanside,Briggston,Southwest,Airbus A380,5.25,1289.24,41769.67,9559.34,4617.27,0.0
85,2022-03-01,05:14:13,15:40:08,Port Craigtown,Velazquezport,Southwest,Boeing 777,5.32,311.08,24057.88,4431.22,2137.66,0.0
86,2024-03-11,15:26:04,11:54:07,Morganview,Markside,Southwest,Boeing 777,4.99,1131.07,30699.29,5606.33,2711.97,1.58
87,2020-07-18,14:32:28,18:47:26,East Feliciaview,North Arthurport,Delta,Boeing 737,7.38,398.34,36034.56,9723.8,1080.09,0.0
88,2020-06-18,12:51:17,17:25:25,Sherriville,New Barbara,JetBlue,Airbus A380,5.94,2927.04,25580.77,4192.94,4235.79,3.96
89,2021-05-14,04:35:02,00:50:06,Michaelbury,Alexandertown,JetBlue,Airbus A380,9.66,1862.75,20212.81,2998.5,1061.75,0.61
90,2023-02-22,07:01:30,09:53:37,North Jared,Deannaside,Southwest,Boeing 737,2.2,1060.32,46797.24,1418.63,1690.32,2.61
91,2023-10-05,03:03:02,02:44:21,Chloeberg,West Victoria,United Airlines,Airbus A380,11.19,1798.45,46923.79,7122.03,3542.76,0.79
92,2020-09-27,00:50:44,05:02:43,New Wandahaven,Port Peggy,Delta,Airbus A380,7.32,1260.11,49356.04,9962.33,1119.53,0.0
93,2021-04-28,12:42:55,02:29:25,Paulaborough,South Derek,American Airlines,Airbus A320,3.09,461.36,31155.19,1870.59,4312.77,0.0
94,2024-10-10,16:39:36,00:32:08,North Brandon,Barrerashire,Southwest,Boeing 737,10.18,2597.63,4046.51,3440.66,4397.74,0.0
95,2021-07-06,06:21:20,23:10:55,Lake Amanda,Hudsonstad,JetBlue,Airbus A320,11.51,1863.19,34936.98,4083.53,2214.05,0.0
96,2024-12-19,19:25:33,04:55:34,Lake Christopherville,South Christinashire,Southwest,Airbus A380,4.13,1636.64,23023.8,6622.42,1997.71,0.0
97,2023-05-21,05:38:57,12:06:32,East Tiffanyview,Johnport,JetBlue,Airbus A380,9.4,976.86,17350.72,6145.72,3730.76,0.0
98,2022-10-21,09:25:25,01:38:08,West Andrewmouth,South Christopher,Southwest,Airbus A380,6.43,2362.28,7136.89,1080.3,1471.12,3.53
99,2023-11-22,21:40:44,04:22:54,New Megan,New Nataliefurt,United Airlines,Airbus A320,10.17,1844.98,18368.95,3112.82,3204.97,0.0
100,2025-04-11,23:57:45,18:02:56,West Amandaland,Travisville,United Airlines,Airbus A380,10.08,1770.2,11256.95,2124.37,4951.39,0.0
101,2020-05-03,11:09:31,20:05:41,Chadborough,Robertmouth,United Airlines,Boeing 777,8.41,626.58,14895.04,5599.03,1755.07,2.75
102,2021-07-15,06:29:30,22:33:43,East Stephaniefurt,Nathanielstad,Delta,Boeing 737,2.42,2656.72,18993.07,7005.81,2876.48,0.0
103,2021-09-02,04:08:10,23:57:02,Schwartzmouth,Port Lindsey,Delta,Boeing 777,6.93,1690.99,33403.28,1192.0,3808.44,0.0
104,2024-12-04,21:17:19,22:47:49,Danielsfort,Christianburgh,JetBlue,Boeing 777,6.55,566.2,38520.33,3032.06,2285.06,0.0
105,2023-11-20,23:19:43,06:32:46,East Timothy,Loweside,JetBlue,Airbus A380,6.92,914.65,11718.95,3654.64,4210.9,2.08
106,2022-03-13,21:11:18,04:03:55,Walkermouth,North Judyshire,Delta,Airbus A320,9.5,2223.11,11131.92,5540.76,2003.59,0.55
107,2022-10-12,16:10:07,16:10:12,North Jamesfurt,Sandraburgh,United Airlines,Airbus A380,7.16,926.87,38530.68,3524.62,3669.14,0.0
108,2024-04-18,19:52:33,13:08:41,Amandaview,Burkefort,United Airlines,Airbus A320,10.31,757.62,8266.41,1657.42,1336.54,0.0
109,2024-02-20,08:30:24,04:12:02,East Crystal,Port Kelly,Delta,Boeing 777,8.27,1331.42,4903.27,6484.05,2736.55,0.0
110,2020-01-31,10:12:41,01:47:33,South Richardchester,Kingtown,JetBlue,Airbus A320,7.54,1875.49,45337.36,4732.57,1713.03,0.0
111,2022-05-27,22:00:03,14:37:50,Gentryview,Port Cynthia,Delta,Boeing 777,11.45,448.93,5947.61,2948.69,2374.9,1.14
112,2025-04-14,04:17:31,06:22:53,Catherineville,Bautistaburgh,Delta,Airbus A380,3.55,1506.4,13634.93,6050.49,1187.5,1.24
113,2022-09-01,16:45:38,18:10:41,Fieldsborough,Ramseyville,American Airlines,Boeing 777,2.84,2245.26,24703.17,7230.2,3244.46,1.46
114,2021-07-24,02:55:51,20:22:52,Thomasshire,East Kimberlyport,Delta,Boeing 737,10.7,962.27,3331.22,5036.58,3457.42,1.23
115,2024-05-06,18:29:18,08:01:53,Meyerfort,Autumnmouth,Southwest,Boeing 737,2.05,1827.45,22112.38,9295.46,1425.14,2.67
116,2022-11-17,13:53:43,01:34:40,East Deborah,South Cory,Delta,Boeing 737,8.69,2932.52,20089.24,3237.91,1927.26,0.0
117,2023-05-22,05:22:11,05:54:09,Sarahtown,Elizabethtown,Delta,Airbus A320,3.85,1703.99,45687.63,7045.48,3341.96,0.0
118,2024-04-19,14:05:11,16:25:08,Danielburgh,Lake Matthewberg,JetBlue,Airbus A320,9.82,2140.72,46798.3,3447.81,4823.85,2.0
119,2023-10-23,23:37:31,05:40:37,Jenniferton,Cassandrafurt,Delta,Boeing 777,11.84,2468.93,41505.6,2671.32,2693.31,0.0
120,2020-12-05,13:50:50,21:07:49,East Ashley,Port Carolfurt,JetBlue,Boeing 737,6.57,2543.81,24198.64,6877.08,4624.25,2.71
121,2023-02-23,11:35:22,09:29:38,Jonesview,Jamiefort,Delta,Boeing 737,6.36,634.93,31713.07,6625.07,1638.52,0.0
122,2021-03-17,22:56:22,09:06:16,Amandahaven,Pamelashire,Delta,Airbus A320,7.84,1681.18,23263.95,5460.43,1767.62,1.25
123,2023-12-29,22:59:58,17:10:28,Changbury,Davidberg,United Airlines,Airbus A380,11.83,889.6,11656.01,2139.95,2876.36,0.0
124,2022-06-26,21:27:41,11:05:47,Davisfurt,Lake Dianaview,American Airlines,Boeing 737,7.74,2906.86,28815.2,676.25,3057.14,0.0
125,2025-01-19,04:50:26,16:17:16,Webbview,Sampsonhaven,United Airlines,Boeing 737,9.13,2826.81,48798.98,546.57,2230.39,3.66
126,2023-10-30,11:58:15,07:20:41,New Andrea,Carterbury,Delta,Boeing 777,10.99,1978.23,46108.72,8518.74,2376.64,1.15
127,2023-10-20,05:38:20,10:41:15,Christophertown,Mcdonaldton,Southwest,Airbus A320,1.8,1501.5,17059.51,2580.12,2660.27,2.36
128,2021-01-17,11:49:27,09:55:14,Bartonfort,Brownport,United Airlines,Boeing 737,9.41,1900.45,34084.6,9376.99,4223.46,2.96
129,2020-10-22,09:28:15,12:12:05,Seanmouth,South Troyberg,American Airlines,Airbus A320,4.44,2954.15,11333.0,3947.97,3925.43,0.0
130,2025-02-10,10:51:15,07:05:39,North Benjamin,North Christopher,JetBlue,Airbus A320,4.08,2744.72,29330.28,9704.29,3725.36,0.0
131,2021-05-29,05:53:18,20:56:40,Davidstad,Melissaborough,American Airlines,Boeing 737,11.25,1458.52,40521.57,9379.26,1003.97,0.0
132,2023-01-25,19:40:07,06:31:48,East Shanestad,Michaelfort,Southwest,Boeing 777,2.26,1819.17,49659.54,9694.3,3691.92,0.0
133,2023-01-13,10:50:36,08:14:44,South Benjamin,West Dennis,JetBlue,Boeing 737,3.8,1094.29,42999.58,1398.23,1558.83,0.0
134,2023-05-25,12:57:37,00:55:41,Harrisport,Port Jeremy,United Airlines,Boeing 737,7.41,2579.41,13953.17,8614.96,4278.43,0.0
135,2020-06-02,21:39:25,10:56:45,Russellbury,Alexandraborough,American Airlines,Boeing 777,1.59,2283.71,41624.04,985.95,1105.47,0.0
136,2021-10-13,00:05:45,10:08:03,Flowersland,Angelaland,United Airlines,Airbus A380,2.07,1204.02,29822.5,7738.36,2757.61,3.78
137,2022-08-04,15:41:11,17:51:11,West Leahside,West Karen,United Airlines,Boeing 777,10.86,686.8,26859.92,990.16,4729.31,0.0
138,2023-03-06,22:27:16,19:36:18,North Renee,Port Christinafurt,Southwest,Boeing 737,4.27,1183.57,15700.24,3115.5,4295.94,1.89
139,2022-11-01,11:43:55,12:26:49,South Melissaland,Port Amandabury,United Airlines,Boeing 737,5.72,1017.74,27762.85,1831.8,4065.27,0.0
140,2022-08-23,09:32:02,19:33:26,Candiceville,Port Tammy,JetBlue,Airbus A380,6.36,394.82,17307.92,9100.13,3770.29,0.0
141,2022-06-02,11:51:39,09:22:07,Lewisburgh,Lloydhaven,United Airlines,Boeing 777,3.31,1310.17,6681.72,2247.3,3137.1,1.02
142,2020-01-23,07:42:57,04:32:23,Carpenterhaven,New Emily,American Airlines,Boeing 737,11.58,842.41,8003.21,3035.4,1431.84,0.0
143,2025-01-28,08:29:32,18:24:20,Williamshaven,South Dustinville,Delta,Airbus A380,10.79,2876.3,12282.84,983.99,2504.71,1.07
144,2024-04-24,19:17:30,03:38:18,Bushfort,Fergusonmouth,Southwest,Airbus A380,1.76,2779.99,16599.69,9743.14,1965.12,2.13
145,2023-11-21,04:48:54,13:16:04,Johnsonside,Avilaville,United Airlines,Boeing 737,8.26,991.57,41404.87,1658.6,3518.94,2.27
146,2023-09-24,11:03:15,07:47:19,Wilkinsonview,East Stacystad,American Airlines,Airbus A320,8.44,2480.95,39402.86,8199.7,2606.01,3.69
147,2022-06-03,05:34:47,17:52:37,Thomasside,North Ellen,United Airlines,Boeing 737,8.0,942.61,19940.88,8541.39,1254.74,1.18
148,2022-06-22,01:42:42,05:46:01,Marcbury,Charlesville,United Airlines,Airbus A380,6.42,337.3,13049.84,8150.2,1005.67,0.0
149,2021-11-30,06:32:43,19:02:49,Morenohaven,New Louis,Southwest,Boeing 777,4.45,1399.73,22468.63,1357.28,1413.77,2.99
150,2021-04-03,07:50:27,10:20:35,Bondmouth,East Morgan,American Airlines,Airbus A380,9.2,1691.34,43394.59,2675.32,2227.31,3.63
151,2021-02-05,23:14:24,11:24:55,Mirandaberg,Oconnorville,United Airlines,Airbus A320,2.47,2761.33,38564.09,3987.03,3346.88,3.86
152,2023-04-30,21:19:09,23:24:12,East Jessicahaven,West Elizabethtown,United Airlines,Boeing 777,2.58,1184.84,4109.02,8836.11,3432.74,0.0
153,2025-02-28,01:06:37,23:30:45,East Krista,Jamesport,Delta,Airbus A320,5.01,2103.98,43563.73,7283.46,1310.42,3.87
154,2023-02-08,12:42:28,17:16:58,Thomasmouth,West Lisa,JetBlue,Boeing 737,1.75,1282.07,47487.93,957.76,2729.57,0.0
155,2021-10-05,07:06:53,19:31:38,South Taylor,South Dwaynechester,United Airlines,Airbus A380,10.18,2180.41,10552.29,2588.56,3175.95,0.0
156,2022-06-26,09:06:30,10:42:23,Lindseyville,Williamville,United Airlines,Boeing 737,3.18,1440.81,15286.07,3450.17,4307.75,3.42
157,2021-03-19,03:59:43,02:59:06,Port Ginaview,Lake William,American Airlines,Airbus A380,2.05,1756.22,34131.89,7756.1,4226.47,0.0
158,2021-03-11,11:13:57,02:16:53,Billyfurt,Sarahstad,Southwest,Airbus A320,7.8,1040.87,42058.03,3234.8,2829.71,1.4
159,2022-06-26,23:04:05,03:36:55,Lake Jefferybury,New Joseberg,Delta,Airbus A320,6.1,2081.05,35387.03,8981.93,2727.25,2.42
160,2021-03-05,06:55:56,09:49:20,East Ronald,Cynthiaview,JetBlue,Boeing 737,6.88,1263.4,27608.68,8428.78,1115.25,0.0
161,2023-11-30,10:45:01,00:37:12,Nataliestad,South Kristina,JetBlue,Airbus A320,2.79,968.25,15189.21,8431.57,4673.89,0.0
162,2023-01-01,12:25:48,00:52:14,Lauriestad,West Tylerland,American Airlines,Boeing 737,9.03,568.27,43796.62,8403.73,4896.29,0.0
163,2020-07-08,13:47:52,22:47:33,Lake Brian,Donaldberg,Southwest,Boeing 777,9.53,2392.92,10423.35,4049.8,4944.18,1.12
164,2023-09-24,23:41:06,18:44:12,West Kirk,Martinville,Delta,Boeing 737,3.07,2005.75,40053.0,5518.98,4791.89,0.85
165,2020-06-09,17:13:29,04:15:31,Gardnerland,East Richard,Delta,Boeing 777,3.18,2006.36,9306.84,1253.13,3799.78,1.78
166,2024-08-04,05:57:46,16:33:47,New Joshua,Oconnorville,American Airlines,Airbus A380,8.15,2957.49,12760.83,6122.91,4365.35,1.31
167,2022-05-18,19:34:30,03:39:01,Lake Madelineberg,North Carolyn,American Airlines,Boeing 737,8.79,1345.57,5926.65,2489.04,3034.24,0.0
168,2020-11-20,02:25:59,23:19:26,Stevenborough,Collierberg,United Airlines,Boeing 777,11.08,2265.97,24145.48,1764.38,4655.5,3.4
169,2020-02-02,18:26:52,18:44:04,Timothyville,East Penny,American Airlines,Airbus A320,5.76,1142.13,13651.27,5387.71,1535.53,0.0
170,2024-04-11,10:08:16,13:49:09,Danielmouth,Harveyburgh,American Airlines,Boeing 777,7.18,2650.77,7354.29,8761.17,1151.2,2.87
171,2021-04-29,19:58:05,18:47:05,Martinhaven,North Timothyview,Delta,Airbus A380,11.82,2306.37,3381.17,2660.67,2760.21,3.89
172,2020-03-02,07:56:05,14:16:22,Myersfort,South Casey,JetBlue,Airbus A320,5.72,1764.4,34821.97,8515.32,3792.98,0.0
173,2020-06-17,15:57:17,11:41:39,Phillipstown,South John,Southwest,Boeing 777,5.51,1221.91,42781.63,4585.46,4306.17,0.0
174,2023-08-05,12:11:20,01:47:56,East Dana,Barbaratown,United Airlines,Boeing 777,9.13,2309.45,23171.69,9752.81,4204.16,0.0
175,2023-07-21,04:26:45,12:37:14,Macdonaldmouth,Acevedohaven,Southwest,Boeing 777,8.32,2161.98,3448.5,6408.82,1127.97,0.0
176,2023-10-17,00:55:57,05:48:09,Lake Michaelchester,New Lisa,American Airlines,Airbus A320,10.93,1747.13,5523.22,4245.6,2684.14,1.63
177,2024-01-03,01:35:13,17:39:38,Kristimouth,Lake Gary,American Airlines,Airbus A320,9.25,1146.58,38338.84,6868.74,2971.68,0.0
178,2024-01-18,09:07:53,04:53:01,Alvaradoland,New Lisahaven,United Airlines,Airbus A320,9.2,1633.45,12972.75,9880.88,4883.95,0.0
179,2023-04-19,01:22:51,03:51:55,South Tracey,Weavermouth,United Airlines,Airbus A320,3.99,415.9,29929.97,1714.01,2905.37,0.0
180,2021-04-18,12:36:16,20:08:29,New Wendyfort,South Derrick,JetBlue,Airbus A320,5.33,1031.53,27051.44,3577.74,4763.63,3.09
181,2022-11-24,21:34:21,07:53:40,North Bonnie,Steelehaven,United Airlines,Boeing 737,10.4,2182.24,4845.0,6132.06,1374.05,1.45
182,2022-04-03,19:22:23,13:25:57,West Jacobport,Kevinmouth,JetBlue,Airbus A380,10.1,715.85,3642.77,4019.82,2906.4,0.0
183,2023-04-29,08:37:07,22:38:42,Rebeccaburgh,Carlosfurt,Southwest,Boeing 737,3.72,2445.0,25388.58,7117.43,3930.52,0.0
184,2024-01-17,02:54:15,00:24:09,Morseberg,West Ryan,Delta,Boeing 777,6.05,2783.57,48239.13,4869.46,1377.63,1.44
